id,church_name,former_denomination,address,city,local_authority,region,nation,latitude,longitude,conversion_type,conversion_subtype,current_name,year_converted,decade,sale_date,sale_price,use_history,buyer_name,company_number,company_type,sic_code,incorporated_country,ofsted_urn,cqc_id,inspection_rating,source,source_url,confidence_score,confidence_tier,notes
,,,Cloudesley Square,London,,,,51.5373847,-0.1081991,unknown,unknown,Holy Trinity Church,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/27548054,0.7,,"OSM way/27548054 | tags: {'HE_ref': '1195557', 'addr:city': 'London', 'addr:postcode': 'N1 0HN', 'addr:street': 'Cloudesley Square', 'alt_name': 'Celestial Church Of Christ', 'building': 'church'}"
,,,,,,,,51.2973928,-0.3248195,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/27674908,0.7,,OSM way/27674908 | tags: {'building': 'chapel'}
,,,,,,,,51.4678714,-0.0475123,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/27921906,0.7,,OSM way/27921906 | tags: {'building': 'church'}
,,,,,,,,51.4397963,0.2411502,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/28094322,0.7,,"OSM way/28094322 | tags: {'building': 'chapel', 'building:colour': 'grey', 'building:levels': '1', 'building:material': 'stone', 'image': 'https://archive.org/details/dartford-2020-07-11/IMG_20200712_175142.jpg', 'roof:colour': 'brown'}"
,,,,,,,,51.2615639,-1.141027,community,community_centre,Saint Thomas Of Canterbury Church Hall,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/28118470,0.7,,"OSM way/28118470 | tags: {'building': 'church', 'name': 'Saint Thomas Of Canterbury Church Hall'}"
,,,58 Newcraighall Road,Edinburgh,,,,55.9327259,-3.1049554,community,community_centre,Craigmillar Community Art Centre,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/28495663,0.7,,"OSM way/28495663 | tags: {'addr:city': 'Edinburgh', 'addr:housenumber': '58', 'addr:postcode': 'EH15 3HS', 'addr:street': 'Newcraighall Road', 'amenity': 'community_centre', 'building': 'church'}"
,,,327a Mile End Road,London,,,,51.5233021,-0.0395857,unknown,unknown,St Benet's Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/29098977,0.7,,"OSM way/29098977 | denomination=nondenominational | tags: {'addr:city': 'London', 'addr:housename': ""St Benet's Ecumenical Chaplaincy"", 'addr:housenumber': '327a', 'addr:postcode': 'E1 4NS', 'addr:street': 'Mile End Road', 'architect': 'Edward Playne'}"
,,,,,,,,51.5731879,-0.3365527,education,school,School Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/29289796,0.7,,"OSM way/29289796 | tags: {'building': 'chapel', 'name': 'School Chapel', 'operator': 'Harrow School', 'wikidata': 'Q17551586'}"
,,,Pond Street,London,,,,51.553206,-0.1684122,arts_culture,arts_centre,St Stephen's Church,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/29370144,0.7,,"OSM way/29370144 | tags: {'addr:city': 'London', 'addr:postcode': 'NW3 2PP', 'addr:street': 'Pond Street', 'amenity': 'arts_centre', 'building': 'church', 'name': ""St Stephen's Church""}"
,St James,,154a Pentonville Road,London,,,,51.5316727,-0.1148486,unknown,unknown,Royal National Institute of Blind People (RNIB),,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/30580391,0.7,,"OSM way/30580391 | tags: {'addr:city': 'London', 'addr:housenumber': '154a', 'addr:postcode': 'N1 9JE', 'addr:street': 'Pentonville Road', 'building': 'church', 'name': 'Royal National Institute of Blind People (RNIB)'}"
,Holy Trinity Church,,Trinity Church Square,London,,,,51.4986026,-0.093912,arts_culture,arts_centre,Henry Wood Hall,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/30656594,0.7,,"OSM way/30656594 | tags: {'addr:city': 'London', 'addr:postcode': 'SE1 4HU', 'addr:street': 'Trinity Church Square', 'amenity': 'arts_centre', 'building': 'church', 'fhrs:id': '421383'}"
,,,,,,,,51.5428419,-0.1155213,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/31110796,0.7,,OSM way/31110796 | tags: {'building': 'church'}
,,,,,,,,55.9474139,-3.1841334,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/31326368,0.7,,"OSM way/31326368 | tags: {'building': 'church', 'note': ""This theater is the converted former Lady Glenorchy's Church (south)""}"
,,,,London,,,,51.5454745,-0.1123079,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/31652294,0.7,,"OSM way/31652294 | tags: {'addr:city': 'London', 'addr:housename': 'St. Clements Court', 'building': 'church'}"
,,,Broad Street,Birmingham,,,,52.4771219,-1.9122631,hospitality,nightclub,Pop World,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/32005713,0.7,,"OSM way/32005713 | tags: {'addr:city': 'Birmingham', 'addr:postcode': 'B1 2HJ', 'addr:street': 'Broad Street', 'amenity': 'nightclub', 'architect': 'J R Botham', 'building': 'church'}"
,,,,,,,,51.8749119,0.9072174,unknown,unknown,Anglican Chapel Disused,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/32543434,0.7,,"OSM way/32543434 | tags: {'building': 'chapel', 'name': 'Anglican Chapel Disused'}"
,,,,,,,,52.1677177,0.15987,community,community_centre,Mowbray Gospel Hall,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/32965778,0.7,,"OSM way/32965778 | tags: {'building': 'church', 'name': 'Mowbray Gospel Hall'}"
,,,,,,,,51.525216,-0.0940034,unknown,unknown,LSO St. Luke's,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/34182087,0.7,,"OSM way/34182087 | tags: {'building': 'church', 'name': ""LSO St. Luke's"", 'wikidata': 'Q7594071', 'wikipedia': 'en:St Luke Old Street'}"
,,,,,,,,54.8972975,-1.3818145,south_asian_faith,sikh_gurdwara,Sikh Leisure Centre,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/34244032,0.7,,"OSM way/34244032 | tags: {'building': 'church', 'description': 'Old church building', 'leisure': 'sports_centre', 'name': 'Sikh Leisure Centre', 'operator': 'Sunderland Sikh Association', 'religion': 'sikh'}"
,National Maritime Museum of Ireland,,Haigh Terrace,Dún Laoghaire,,,,53.2921453,-6.1317408,unknown,unknown,National Maritime Museum of Ireland,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/37073681,0.7,,"OSM way/37073681 | tags: {'addr:city': 'Dún Laoghaire', 'addr:postcode': 'A96C8X7', 'addr:street': 'Haigh Terrace', 'alt_name': ""Mariner's Church"", 'building': 'church', 'check_date': '2025-01-22'}"
,,,114-116 Nethergate,Dundee,,,,56.4583192,-2.9729334,unknown,unknown,Meadowside St. Paul's Church,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/37896158,0.7,,"OSM way/37896158 | denomination=church_of_scotland | tags: {'addr:city': 'Dundee', 'addr:housenumber': '114-116', 'addr:postcode': 'DD1 4EH', 'addr:street': 'Nethergate', 'building': 'church', 'contact:facebook': 'http://www.facebook.com/mspdundee'}"
,,,,,,,,51.8052157,-1.2534903,unknown,unknown,Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/38111539,0.7,,"OSM way/38111539 | tags: {'access': 'private', 'building': 'chapel', 'listed_status': 'Grade I', 'name': 'Chapel', 'wikimedia_commons': 'File:Private_Chapel,_Water_Eaton_Manor_-_geograph.org.uk_-_8112940.jpg'}"
,,,,,,,,56.2522796,-3.2167566,unknown,unknown,Crichton-Stuart Memorial Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/38624599,0.7,,"OSM way/38624599 | tags: {'building': 'chapel', 'historic': 'memorial', 'image': 'https://www.geograph.org.uk/photo/5332224', 'memorial': 'chapel', 'name': 'Crichton-Stuart Memorial Chapel', 'ref:GB:hs': 'LB31352'}"
,,,,,,,,51.5041854,-3.1306867,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/38661659,0.7,,"OSM way/38661659 | tags: {'building': 'church', 'community_centre': 'parish_hall', 'community_centre:for': 'religious'}"
,,,,,,,,51.5041182,-3.130523,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/38661691,0.7,,"OSM way/38661691 | tags: {'building': 'church', 'community_centre': 'parish_hall', 'community_centre:for': 'religious'}"
,,,,,,,,52.3852143,-1.5136366,community,community_centre,West Orchard Church Hall,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/38694063,0.7,,"OSM way/38694063 | tags: {'building': 'church', 'name': 'West Orchard Church Hall'}"
,,,,,,,,51.3539633,-0.2474769,unknown,unknown,United Reformed Church Ewell,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/39186343,0.7,,"OSM way/39186343 | tags: {'building': 'church', 'building:levels': '1', 'name': 'United Reformed Church Ewell', 'wikidata': 'Q7594326', 'wikipedia': ""en:St Mary's Church, Ewell""}"
,,,,,,,,50.4204596,-4.1093755,unknown,unknown,Chaplaincy,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/40265915,0.7,,"OSM way/40265915 | tags: {'building': 'church', 'name': 'Chaplaincy'}"
,,,,,,,,50.4153855,-4.1208592,unknown,unknown,Plymouth Brethren,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/40266036,0.7,,"OSM way/40266036 | tags: {'addr:postcode': 'PL6 5XN', 'building': 'church', 'name': 'Plymouth Brethren', 'ref:GB:uprn': '10012059194', 'source:addr:postcode': 'ONSUD;OS Open UPRN'}"
,,,,,,,,51.6205853,-3.9244766,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/40350175,0.7,,OSM way/40350175 | tags: {'building': 'church'}
,,,,,,,,55.5613789,-3.6216605,unknown,unknown,,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/40532937,0.7,,OSM way/40532937 | tags: {'building': 'church'}
,,,,,,,,51.4407403,-2.7110553,unknown,unknown,Tyntesfield Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/40698200,0.7,,"OSM way/40698200 | tags: {'building': 'chapel', 'name': 'Tyntesfield Chapel', 'wikidata': 'Q116200980'}"
,,,,,,,,55.9486937,-3.2000886,unknown,unknown,St Margaret's Chapel,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/41299985,0.7,,"OSM way/41299985 | tags: {'building': 'chapel', 'building:material': 'stone', 'check_date': '2025-02-08', 'height': '8', 'historic': 'yes', 'image': 'https://commons.wikimedia.org/wiki/File%3AScotstmargretschapel.jpg'}"
,,,117 Nicolson Street,Edinburgh,,,,55.9442904,-3.184151,community,community_centre,Southside Community Centre,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/41424396,0.7,,"OSM way/41424396 | tags: {'addr:city': 'Edinburgh', 'addr:housenumber': '117', 'addr:postcode': 'EH8 9ER', 'addr:street': 'Nicolson Street', 'amenity': 'community_centre', 'building': 'church'}"
,,,,,,,,55.9437146,-3.1855477,unknown,unknown,Buccleuch Church,,,,,,,,,,,,,,osm,https://www.openstreetmap.org/way/41452429,0.7,,"OSM way/41452429 | tags: {'alt_name': 'Orthodox Chapel of St Andrew', 'alt_name_2': ""St Andrew's Orthodox Church, Edinburgh"", 'building': 'church', 'building:levels': '1', 'name': 'Buccleuch Church', 'note': 'furniture store for the University of Edinburgh'}"
